Categoría,Pregunta,Respuesta Correcta,Respuesta Incorrecta 1,Respuesta Incorrecta 2,Respuesta Incorrecta 3
Vocabulario,¿Qué significa "pioggia" en español?,Lluvia,Nieve,Viento,Sol
Cultura,¿Qué famoso escritor italiano escribió "El Príncipe"?,Nicolás Maquiavelo,Dante Alighieri,Giovanni Boccaccio,Francesco Petrarca
Expresiones,¿Cómo se dice "¿Hablas italiano?" en italiano?,Parli italiano?,Parla italiano?,Parlate italiano?,Parlo italiano?
Gramática,¿Cuál es la forma plural de "sole" (sol)?,Soli,Sole,Sola,Sole
Vocabulario,¿Qué significa "nuvola" en español?,Nube,Lluvia,Viento,Sol
Cultura,¿Qué famoso compositor italiano es conocido por "Las Cuatro Estaciones"?,Antonio Vivaldi,Giuseppe Verdi,Gioachino Rossini,Giacomo Puccini
Expresiones,¿Cómo se dice "¿Dónde está el baño?" en italiano?,Dove è il bagno?,Dove è la stazione?,Dove è il ristorante?,Dove è l'hotel?
Gramática,¿Cuál es el artículo definido para "lago" (lago) en italiano?,Il,La,Lo,Le
Vocabulario,¿Qué significa "tempesta" en español?,Tormenta,Lluvia,Viento,Nieve
Cultura,¿Qué famoso pintor italiano es conocido por "El Nacimiento de Venus"?,Sandro Botticelli,Leonardo da Vinci,Miguel Ángel,Rafael
Expresiones,¿Cómo se dice "¿Cuánto cuesta?" en italiano?,Quanto costa?,Quanto è?,Quanto dura?,Quanto pesa?
Gramática,¿Cuál es la forma plural de "lago" (lago)?,Laghi,Lago,Laga,Lage
Vocabulario,¿Qué significa "arcobaleno" en español?,Arcoíris,Nube,Lluvia,Viento
Cultura,¿Qué famoso científico italiano es conocido por inventar la pila eléctrica?,Alessandro Volta,Galileo Galilei,Leonardo da Vinci,Enrico Fermi
Expresiones,¿Cómo se dice "¿Qué hora es?" en italiano?,Che ora è?,Che giorno è?,Che mese è?,Che anno è?
Gramática,¿Cuál es el artículo definido para "montagna" (montaña) en italiano?,La,Il,Lo,Le
Vocabulario,¿Qué significa "foresta" en español?,Bosque,Desierto,Playa,Montaña
Cultura,¿Qué famoso compositor italiano es conocido por "La Bohème"?,Giacomo Puccini,Giuseppe Verdi,Gioachino Rossini,Antonio Vivaldi
Expresiones,¿Cómo se dice "¿Cómo te llamas?" en italiano?,Come ti chiami?,Come stai?,Dove vai?,Quanto costa?
Gramática,¿Cuál es la forma plural de "montagna" (montaña)?,Montagne,Montagni,Montagna,Montagno
Vocabulario,¿Qué significa "deserto" en español?,Desierto,Bosque,Playa,Montaña
Cultura,¿Qué famoso escritor italiano es conocido por "El Decamerón"?,Giovanni Boccaccio,Dante Alighieri,Francesco Petrarca,Nicolás Maquiavelo
Expresiones,¿Cómo se dice "¿De dónde eres?" en italiano?,Di dove sei?,Dove vai?,Come stai?,Quanto costa?
Gramática,¿Cuál es el artículo definido para "isola" (isla) en italiano?,L',Il,La,Lo
Vocabulario,¿Qué significa "spiaggia" en español?,Playa,Desierto,Bosque,Montaña
Cultura,¿Qué famoso compositor italiano es conocido por "Rigoletto"?,Giuseppe Verdi,Giacomo Puccini,Gioachino Rossini,Antonio Vivaldi
Expresiones,¿Cómo se dice "¿Qué haces?" en italiano?,Cosa fai?,Cosa vuoi?,Cosa dici?,Cosa vedi?
Gramática,¿Cuál es la forma plural de "isola" (isla)?,Isole,Isola,Isole,Isole
Vocabulario,¿Qué significa "cielo" en español?,Cielo,Tierra,Mar,Montaña
Cultura,¿Qué famoso pintor italiano es conocido por "La Última Cena"?,Leonardo da Vinci,Miguel Ángel,Rafael,Sandro Botticelli
Expresiones,¿Cómo se dice "¿Qué pasa?" en italiano?,Cosa succede?,Cosa fai?,Cosa vuoi?,Cosa dici?
