Categoría,Pregunta,Respuesta Correcta,Incorrecta 1,Incorrecta 2,Incorrecta 3
Expresiones Comunes,¿Qué expresión italiana significa "disculpe"?,Mi scusi,Grazie,Per favore,Ciao
Vocabulario Básico,¿Cómo se dice "pan" en italiano?,Pane,Pasta,Pizza,Formaggio
Vocabulario Básico,¿Qué significa "caffè"?,Coffee,Wine,Beer,Water
Gramática,¿Cuál es el artículo definido para "le case"?,Le,Il,La,I
Gramática,¿Cómo se conjuga el verbo "fare" en presente para "loro"?,Fanno,Faccio,Fai,Fa
Cultura Italiana,¿Qué famoso escultor italiano creó el David?,Michelangelo,Leonardo da Vinci,Rafael,Donatello
Cultura Italiana,¿En qué ciudad se encuentra la famosa Ópera "La Scala"?,Milán,Venecia,Roma,Florencia
Comida,¿Cómo se dice "carne" en italiano?,Carne,Pesce,Verdura,Frutta
Comida,¿Qué tipo de carne italiana es famosa por ser curada y ahumada?,Prosciutto,Pollo,Cordero,Ternera
Números,¿Cómo se escribe el número "uno" en italiano?,Uno,Dos,Tres,Cuatro
Números,¿Qué número es "trenta" en italiano?,30,10,20,40
Verbos,¿Qué significa "parlare"?,Hablar,Comer,Beber,Dormir
Verbos,¿Cómo se dice "ella bebe" en italiano?,Lei beve,Lei mangia,Lei dorme,Lei parla
Lugares,¿Cómo se dice "bosque" en italiano?,Foresta,Mare,Montagna,Lago
Lugares,¿Qué palabra italiana significa "valle"?,Valle,Montagna,Spiaggia,Lago
Expresiones Comunes,¿Cómo se dice "con permiso" en italiano?,Permesso,Grazie,Per favore,Ciao
Expresiones Comunes,¿Qué expresión italiana significa "feliz cumpleaños"?,Buon compleanno,Buon Natale,Buona Pasqua,Buon Anno
Vocabulario Básico,¿Cómo se dice "fruta" en italiano?,Frutta,Verdura,Carne,Pesce
Vocabulario Básico,¿Qué significa "pesce"?,Fish,Fruit,Meat,Vegetable
Gramática,¿Cuál es el artículo definido para "i libri"?,I,Il,La,Gli
Gramática,¿Cómo se conjuga el verbo "vedere" en presente para "voi"?,Vedete,Vedo,Vede,Vediamo
Cultura Italiana,¿Qué famoso compositor italiano escribió "Las Cuatro Estaciones"?,Antonio Vivaldi,Giuseppe Verdi,Giacomo Puccini,Gioachino Rossini
Cultura Italiana,¿En qué ciudad se celebra el Carnaval más famoso de Italia?,Venecia,Roma,Florencia,Milán
Comida,¿Cómo se dice "verdura" en italiano?,Verdura,Frutta,Carne,Pesce
Comida,¿Qué tipo de verdura italiana es famosa por su forma alargada y verde?,Zucchina,Pomodoro,Peperone,Cipolla
Números,¿Cómo se escribe el número "dos" en italiano?,Due,Uno,Tres,Cuatro
Números,¿Qué número es "quaranta" en italiano?,40,10,20,30
Verbos,¿Qué significa "scrivere"?,Escribir,Leer,Hablar,Escuchar
Verbos,¿Cómo se dice "ellos escriben" en italiano?,Loro scrivono,Loro leggono,Loro parlano,Loro ascoltano
Lugares,¿Cómo se dice "desierto" en italiano?,Deserto,Mare,Montagna,Lago
Lugares,¿Qué palabra italiana significa "isla"?,Isola,Mare,Montagna,Lago
Expresiones Comunes,¿Cómo se dice "te amo" en italiano?,Ti amo,Ti voglio bene,Grazie,Ciao
Expresiones Comunes,¿Qué expresión italiana significa "feliz año nuevo"?,Buon Anno,Buon Natale,Buona Pasqua,Buon compleanno
